"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM178B",96.204617301752,1.63957994025735,0.510809183204871,3.20976989875252,0.00132841267216851,0.157874466016827
"CARD17",9.10828507299477,-1.73390133957733,0.544684295774961,-3.18331435847693,0.00145599444637517,0.170510765676228
"PVALB",687.282101990709,1.5298812873499,0.48045309077171,3.18424694675725,0.00145131142650105,0.170510765676228
"TGFBR3",193.262305207989,-1.78722293334796,0.565645852067813,-3.15961467199745,0.00157977919198493,0.183666502581204
"CLDN16",16.6340886566785,1.99133829006567,0.631844425685636,3.15162753537756,0.00162363239615446,0.187406893265483
"OSBPL5",59.4350607046983,1.35566022502258,0.430514559402691,3.14893003131756,0.00163869425055429,0.187794361113521
"KLHL34",34.7829190676652,1.26216421887797,0.401261092924564,3.14549364773638,0.00165806795605734,0.188666966574355
"GOLIM4",151.115624634375,1.57787839403884,0.502032072168442,3.14298325049924,0.00167235409196056,0.188952458108558
"C10orf128",395.233869492213,-1.94971501970319,0.625554294316852,-3.1167798501526,0.00182838053221201,0.191729001691565
"CLTCL1",75.0364039815945,1.34680316638344,0.431854404616417,3.11865098974666,0.00181681027082906,0.191729001691565
"FAM101B",308.613854298338,-2.06749718871527,0.661820739135802,-3.12395346119704,0.0017843867730465,0.191729001691565
"FILIP1L",177.536681374417,1.55923545171527,0.500266987237283,3.11680660825957,0.00182821459633987,0.191729001691565
"FZD3",561.596595491391,1.57532180015642,0.502353612876859,3.13588229441594,0.00171337955406195,0.191729001691565
"H1F0",125.538365512888,1.21895318250369,0.390224142284089,3.12372570125678,0.00178576847215842,0.191729001691565
"LMO4",454.067580326717,-1.7560829968336,0.5614811324873,-3.12759039480871,0.00176245613625772,0.191729001691565
"RAB20",49.2297136217971,1.30704276936532,0.418389549955955,3.12398521785001,0.00178419420030596,0.191729001691565
"SERTAD4-AS1",46.0377871240293,1.61549420537199,0.515680613861484,3.13274178231165,0.00173181725353226,0.191729001691565
"TOX",2120.39219230526,1.31117333993282,0.420264599024095,3.11987577106786,0.00180927326673116,0.191729001691565
"ZBP1",42.0955531864618,-1.48807239545919,0.475463879678199,-3.1297275335959,0.00174968509685542,0.191729001691565
"TJP2",364.500463046045,1.53318118575772,0.492634919645669,3.11220566106128,0.00185695085127352,0.193460515959951
"C12orf75",1527.74879547106,-1.51648301250042,0.48837551873248,-3.10515772051038,0.00190177586763679,0.194008076152482
"CITED4",33.0293764952265,-1.40582266150169,0.45287824251888,-3.10419563033675,0.00190797127663092,0.194008076152482
